Neighborhood,GroupedPrimaryPropertyTypes,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFABuilding(s),ENERGYSTARScore,DistanceToDowntown,Log_TotalGHGEmissions
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1900.0,1.0,5.0,50176.0,77.0,0.32724891032346354,3.2546289945740186
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1912.0,1.0,42.0,304346.0,72.0,0.3650196658351832,6.609753474123501
GREATER DUWAMISH,Bâtiments Industriels et de Stockage,1977.0,1.0,1.0,128800.0,97.0,7.159364939274908,4.381026134340298
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1927.0,1.0,8.0,321945.0,76.0,0.47934929370669194,5.875071170428134
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1964.0,1.0,22.0,336330.0,77.0,0.38105943242854623,6.276004187287266
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1960.0,1.0,21.0,298426.0,79.0,0.4433603973469184,6.990063111629714
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1976.0,1.0,42.0,635824.0,69.0,0.4482064958647065,5.825911607889265
DOWNTOWN,Bâtiments d'Hébergement,1923.0,1.0,12.0,542305.0,45.0,0.33738128121263966,7.853507721005911
SOUTHEAST,Bâtiments de Vente et de Services,1980.0,1.0,2.0,291940.0,80.0,3.9409054367377174,5.09650713317022
NORTHWEST,Bâtiments Industriels et de Stockage,1960.0,1.0,1.0,52311.0,96.0,13.834124329561039,3.9049983904911816
LAKE UNION,Bâtiments Autres,2009.0,1.0,5.0,71421.0,,2.0407467609007846,3.113959654918641
LAKE UNION,Bâtiments Commerciaux et Administratifs,2001.0,1.0,5.0,106465.0,60.0,2.058624349641813,3.7247291070076334
BALLARD,Bâtiments Industriels et de Stockage,1973.0,1.0,1.0,52500.0,2.0,6.468150066200342,4.269277781231888
BALLARD,Bâtiments Industriels et de Stockage,1959.0,1.0,2.0,57300.0,55.0,7.782338926474699,5.06050424124939
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1916.0,1.0,6.0,350310.0,90.0,1.7639032122506633,5.417699123568117
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1988.0,1.0,55.0,1115000.0,92.0,0.31051646678973316,6.3799530310090296
DOWNTOWN,Bâtiments d'Hébergement,1930.0,1.0,21.0,305548.0,58.0,0.5191076777648803,7.321089345468996
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1989.0,1.0,46.0,1023998.0,89.0,0.6196839722633379,6.275100946851013
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1958.0,1.0,10.0,135918.0,91.0,0.5621062016132011,5.2715626292392175
DOWNTOWN,Bâtiments de Vente et de Services,1914.0,1.0,4.0,79957.0,25.0,0.753405247629825,3.627269972482245
